id,name,category,flavors,molecules_count,sample_molecules
1,Bakery Products,Bakery,"almond, bitter, bread, butter, caramel, chocolate, cocoa, coffee, corn, earthy, grass, green, hazelnut, leather, meat, medical, medicinal, medicine, must, musty, nut, nutty, peanut, peanut butter, popcorn, potato, powdery, raw, roast, roast beef, roasted, roasted nut, roasted nuts, sweat, walnut, wood, woody",6,"2,3-Dimethylpyrazine, 2,5-Dimethylpyrazine, 2-Ethylpyrazine, 2-Ethyl-3-Methylpyrazine, 2-Methylpyrazine, 2,3,5-Trimethylpyrazine"
2,Bread,Bakery,"acetone, acid, acidic, alcohol, alcoholic, aldehydic, alkaline, almond, amine, ammoniacal, angelica, animal, anise, apple, baked, balsam, balsamic, banana, barley, bay oil, beany, beef, berry, bitter, bland, bread, bread crust, bready, brown, burnt, burnt sugar, butter, butterscotch, cabbage, camphor, camphoraceous, cananga, candy, caramel, carnation, cheese, cheesy, cherry, chip, chocolate, cinnamic, cinnamon, citral, citrus, civet, clove, clover, cocoa, coconut, coffee, cooked potato, cool, corn, coumarin, creamy, decomposing cabbage, deep, dry, earthy, egg, ester, ether, ethereal, faint, fat, fatty, fecal, feet, fermented, fish, fishy, floral, flower, formyl, fragrant, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, green bean, hawthorne, hazelnut, heavy, herb, herbaceous, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, lime, linden, magnolia, malt, maple, meaty, medical, medicine, melon, menthol, mentholic, metal, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, mustard, musty, naphthelene, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, orris, ozone, paint, peach, peanut, pear, peely, pepper, peppermint, peppery, petal, phenolic, pineapple, popcorn, potato, powdery, prune, pungent, putrid, rancid, raspberry, red hots, resin, roast, roasted, rose, rose dried, rose flower, rose water, rotten, rubber, rum, sharp, shrimp, slightly waxy, soap, soapy, solvent, soup, sour, soy, spice, spicy, stinky, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, sweet corn, tallow, thyme, tobacco, tomato, tonka, tropical, unpleasant, unripe banana, vanilla, vegetable, very mild, vinegar, walnut, warm, waxy, weedy, whiskey, wine, wine-lee, wine_like, wintergreen, wood, woody",129,"coumarin, Methyl Benzoate, 3-Hexanone, Geraniol, alpha-Maltose, 2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone, Pyrazine, Phlorizin, 4-Methylpentanoic Acid, methanethiol"
3,Rye Bread,Bakery,"aldehydic, almond, amine, apple, baked, balsam, balsamic, banana, bean, beef, bitter, bread, butter, butterscotch, buttery, candy, caramel, celery, cheese, cheesy, chocolate, cinnamon, civet, clove, coffee, cooked potato, cotton, creamy, cucumber, cultured dairy, curry, dairy, dirty, dry, earthy, ether, fat, fatty, fishy, floral, flower, fresh, fruit, fruity, fusel, grape, grassy, green, herb, honey, honeysuckle, horseradish, jam, juicy, leaf, malt, medicinal, medicine, mild, milky, musty, nut, onion, overripe fruit, peanut, pear, phenolic, pineapple, potato, powdery, pungent, putrid, rancid, raspberry, roast, roasted, rose, sharp, sickening, smoke, smoky, solvent, soup, sour, spice, spicy, storax, strawberry, sugar, sulfurous, sweat, sweet, tart, tobacco, tomato, tropical, vanilla, vegetable, very mild, violet, wax, waxy, woody",30,"2-Methylbutyl Acetate, 3-methylthiopropanol, cis-Cinnamic acid, Vanillic acid, Violet leaf aldehyde, Ethyl Lactate, 3-(Methylthio)propionaldehyde, Damascenone, 2-Ethyl-5-Methylpyrazine, Thiamine Hydrochloride"
4,Wheaten Bread,Bakery,"acetic, acidic, alcohol, amine, animal, banana, berry, bitter, bread crust, brown, burnt almonds, butter, cabbage, caramel, caramellic, celery, cheese, chip, chocolate, citrus, cocoa, coffee, cooked, corn, cream, creamy, dry, earthy, ether, ethereal, fatty, fermented, fish, fishy, floral, fresh, fruit, fruity, fusel, green, hawthorn, hazelnut, heavy, herbal, horseradish, hyacinth, iris, jasmin, meaty, metallic, mild, mushroom, must, musty, natural, nutty, oil, oily, onion, orange, orris, peanut, phenol, phenolic, pineapple, plastic, popcorn, potato, powdery, pungent, putrid, radish, rancid, roast, roasted, roasted nuts, rose, rubber, rum, savory, sharp, sickening, sour, spicy, sulfur, sulfurous, sweaty, sweet, tobacco, tomato, tropical, warm, watercress, waxy, whiskey, wine, woody",30,"Difurfuryl ether, 2-Undecanone, Octyl acetate, Furfuryl acetate, 2-Furylacetone, 3-Acetylpyridine, 2,4-Hexadienal, Dimethyl trisulfide, 2-Phenylethyl formate, methylglyoxal"
5,White Bread,Bakery,"acidic, alcoholic, almond, baked, banana, berry, bitter, bread, brown, burnt, caramel, chemical, cherry, cocoa, coffee, ethereal, floral, fragrant, fruity, green, herb, horseradish, lavender, musty, nutty, odorless, pineapple, pungent, rhubarb, rum, sweet, woody",13,"2-Furaldehyde, 3-Methyl-2-Buten-1-Ol, Ethyl Levulinate, 3-Methyl-2-butenal, alpha-Angelica lactone, Furfuryl Alcohol, Furfuryl acetate, 2-Ethylbutanal, Dl-Phenylalanine, L-aspartic acid"
6,Wholewheat Bread,Bakery,"acetoin, acetone, acetophenone, acid, acidic, alcohol, aldehydic, alkaline, alliaceous, almond, amine, ammonia, ammoniacal, animal, apple, baked, banana, bean, beef, berry, bitter, bland, bread, burnt, butter, butterscotch, buttery, cabbage, candy, caramel, celery, cereal, cheese, cheesy, chemical, cherry, chicken, chip, chocolate, citrus, clean, cocoa, coconut, coffee, cognac, cooked potato, corn, cotton, coumarin, cream, creamy, cucumber, cultured dairy, dairy, decomposing cabbage, dirty, dry, dusty, earthy, egg, ether, ethereal, fat, fatty, fishy, floral, fresh, fruit, fruity, fungal, furfural, fusel, garlic, gasoline, grassy, green, herbal, horseradish, hot milk, jam, lard, leaf, licorice, lily, malt, meaty, melon, metal, mild, milky, mushroom, musty, natural, nut, nutty, odorless, oily, onion, orange, paper, peach, peanut, pear, phenolic, pineapple, plastic, potato, pungent, radish, rancid, raspberry, raw, rhubarb, roasted, roquefort cheese, rose, seaweed, sharp, smoke, soap, soapy, solvent, sour, soybean, spice, strawberry, sulfur, sulfurous, sulfury, sweat, sweet, sweet corn, tart, tomato, tropical, unpleasant, vegetable, very mild, violet, walnut, wax, waxy, weedy, wet, wild, woody",58,"4-Methyl-2-pentanone, 2-Methyltetrahydrofuran-3-One, Ethyl Undecanoate, 5,6,7,8-Tetrahydroquinoxaline, (-)-Epigallocatechin gallate, (-)-Epicatechin gallate, Violet leaf aldehyde, Ethyl Lactate, trans-2-Octenal, 1-Octen-3-Ol"
7,Wort,Beverage,"acid, alcohol, alcoholic, aldehydic, almond, almond shell, animal, anisic, apple, apricot, bacon, baked, balsam, banana, bay oil, bean, beany, berry, bitter, boiled vegetable, bread, bready, burnt, burnt sugar, butter, buttery, butyric, cabbage, caramel, carnation, cheese, cheesy, chemical, cherry, chicken, chocolate, citrus, civet, clove, clover, cocoa, coconut, coumarin, creamy, cultured dairy, curry, dairy, dirty, earthy, ether, ethereal, faint, fat, fatty, fecal, feet, fermented, fishy, floral, flower, fragrant, fresh, fried, fruit, fruity, fungal, fusel, gasoline, grapefruit, green, green bean, hawthorn, hawthorne, hazelnut, herbaceous, herbal, honey, honeysuckle, hot milk, hyacinth, iris, jasmin, jasmine, lard, leather, lemongrass, licorice, magnolia, malt, maple, meaty, medical, medicinal, mesquite, metal, metallic, mild, milky, mimosa, moth ball, mothball, mushroom, must, musty, naphthelene, natural, neroli, nut, nut skin, nutty, odorless, oil, oily, onion, orange, orris, peach, peanut, pear, pepper, phenol, phenolic, pineapple, plastic, plum, popcorn, potato, powdery, pungent, putrid, pyridine, radish, rancid, raw, roast, roasted, roasted meat, rose, rubber, sharp, smoky, soap, soapy, solvent, sour, spice, spicy, stinky, sulfur, sulfurous, sulfury, sweat, sweaty, sweet, sweet corn, tobacco, tomato, tropical, vanilla, vegetable, walnut, warm, wax, waxy, weedy, whiskey, wild, wine, wine_like, wood, woody",63,"2-Furaldehyde, Benzyl Acetate, 4-Propenyl-2,6-dimethoxyphenol, 2-Undecanone, Pentanal, stearic acid, 4-Methyl-2-pentanone, 6-Methyl-5-Hepten-2-One, Undecanoic Acid, 4-Vinylphenol"
8,Arrack,Beverage Alcoholic,"alcohol, alcoholic, almond, apple, apricot, bitter, burnt sugar, celery, cherry, chocolate, cooked, cranberry, ether, fermented, fruit, fruity, fusel, grape, mild, musty, peach, peanut, pear, pungent, raspberry, sharp, solvent, strong, sweet, wine, ylang",5,"Propyl acetate, Methyl Acetate, benzaldehyde, Diethyl Succinate, 1-propanol"
9,Beer,Beverage Alcoholic,"acetic, acid, acidic, acrylate, alcohol, alcoholic, aldehydic, alkaline, almond, almond shell, amber, amine, ammonia, ammoniacal, angelica, animal, anise, anisic, apple, apple peel, apricot, bacon, baked, balsam, balsamic, banana, barley, bay oil, bean, beef, beer, berry, bitter, blackcurrant, borneol, box tree, brandy, bread, bready, brown, burnt, burnt almonds, burnt sugar, butter, butterscotch, buttery, cabbage, camphor, candy, caramel, caramellic, carnation, castoreum, cat-urine, celery, cheese, cheesy, chemical, chicken, chip, chocolate, cinnamon, citrus, citrus peel, civet, clean, clove, clover, cocoa, coconut, coffee, cognac, cooked, cooked potato, cooling, corn, cortex, cotton, cotton candy, coumarin, cream, creamy, cucumber, cultured dairy, curry, dairy, decomposing cabbage, dirty, dry, dust, dusty, earthy, egg, ester, estery, ether, ethereal, eugenol, extremely sweet, faint, fat, fatty, fecal, feet, fennel, fermented, fish, fishy, floral, flower, foliage, fresh, fried, fruit, fruity, fungal, fusel, gardenia, garlic, gasoline, gassy, geranium, glue, grape, grapefruit, grass, grassy, green, guaiacol, hawthorn, hawthorne, hay, hazelnut, heavy, herb, herbaceous, herbal, honey, honeysuckle, hop_oil, horseradish, hot milk, hyacinth, incense, iris, jam, jammy, jasmin, jasmine, juicy, lactonic, lard, laundry, lavender, leaf, leafy, leather, leek, lemon, lemongrass, licorice, lilac, lily, lime, linden, magnolia, malt, mango, maple, meat, meaty, medical, medicinal, medicine, melon, mesquite, metal, metallic, mild, milky, mint, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, naphthelene, natural, neroli, nut, nutty, oakmoss, odorless, oil, oily, onion, orange, orange peel, orris, others, overripe fruit, papaya, paper, pastry, peach, peanut, peanut butter, pear, peely, peony, pepper, peppery, phenol, phenolic, pine, pineapple, plastic, plum, popcorn, potato, powdery, pulpy, pumpkin, pungent, putrid, pyridine, radish, rancid, raspberry, raw, red rose, ripe, roast, roasted, roasted nuts, roasted peanuts, root, roquefort cheese, rose, rose bud, rose dried, rose flower, rose water, rotten, rubber, rubbery, rum, rummy, savory, seedy, sharp, sickening, slightly waxy, smoke, smoky, soap, soapy, solvent, soup, sour, soy, soybean, spice, spicy, stem, stinky, storax, strawberry, strong, styrax, sugar, sulfur, sulfurous, sulfury, sweat, sweaty, sweet, sweet corn, tallow, tart, tea, terpene, tobacco, tomato, tonka, tropica, tropical, truffle, turpentine, tutti frutti, unpleasant, unripe banana, vanilla, vegetable, very mild, vinegar, vinous, violet, walnut, warm, watery, wax, waxy, weedy, wet, whiskey, wild, wine, wine_like, wintergreen, wood, woody, yeast",263,"(2E,4E)-Undeca-2,4-dienal, Isoamyl butyrate, Octan-2-ol, Isobutyl mercaptan, Isopentyl hexanoate, 2-Methylbutyl Acetate, L-Malic acid, 2-Methylbutyraldehyde, (2E,4E)-deca-2,4-dienal, 3-methylthiopropanol"
10,Bantu Beer,Beverage Alcoholic,"alcohol, aldehydic, almond, apple, balsam, banana, berry, bitter, bready, burnt, burnt sugar, cabbage, chemical, cherry, chip, cocoa, corn, earthy, ether, ethereal, fatty, fermented, floral, fruit, fruity, gasoline, green, heavy, honey, juicy, malt, metal, mushroom, nutty, oily, onion, orange, orris, overripe fruit, peanut, petal, popcorn, pungent, radish, rose, sharp, solvent, strong, sulfur, sulfurous, sulfury, sweet, sweet corn, tobacco, tomato, tropical, vegetable, waxy, whiskey, wild, wine",13,"1-octanol, Phenethyl acetate, Pentanal, Propionaldehyde, 1-Phenyl-1-propanol, 2-Methylbutyl Acetate, dimethyl sulfide, benzaldehyde, 2-Acetylpyridine, Methyl tetradecanoate"
